articleId,authorRaw,authorName,authorEmail,authorParseMethod,authorParseStatus
5210942,,,,not_found,not_found
5210752,글 이승연 매경 시티라이프부 기자lee.seungyeon@mk.co.kr 사진 각 호텔 및 브랜드,이승연,기자lee.seungyeon@mk.co.kr,b_tag_following_text,found
5210310,글 송이령(프리랜서) 일러스트 프리픽,송이령,,b_tag_following_text,found
5210190,,,,not_found,not_found
5209482,글과 사진 류주현,류주현,,b_tag_following_text,found
5209481,,,,not_found,not_found
5208757,글 송이령(프리랜서) 사진 프리픽,송이령,,b_tag_following_text,found
5208709,,,,not_found,not_found
5208065,글 변덕호(매경에이엑스) 기자 사진 각 백화점,변덕호,,b_tag_following_text,found
5208062,글과 사진 최유진,최유진,,b_tag_following_text,found
5207975,park.chaneun@mk.co.kr,,park.chaneun@mk.co.kr,regex_email_only,partial
5207814,글 송이령(프리랜서) 사진 프리픽,송이령,,b_tag_following_text,found
5206420,글과 사진 류주현,류주현,,b_tag_following_text,found
5205882,글 박윤선(기업커뮤니케이션&컨설팅그룹 네오메디아 대표) 사진 각 브랜드,박윤선,,b_tag_following_text,found
5205833,,,,not_found,not_found
5205161,글과 사진 최유진,최유진,,b_tag_following_text,found
5204104,글과 사진 류주현,류주현,,b_tag_following_text,found
5203626,,,,not_found,not_found
5203141,글 박윤선(기업커뮤니케이션&컨설팅그룹 네오메디아 대표) 사진 각 브랜드,박윤선,,b_tag_following_text,found
5202864,,,,not_found,not_found
5202639,글과 사진 최유진,최유진,,b_tag_following_text,found
5202638,글 변덕호(매경에이엑스) 기자 사진 롯데면세점,변덕호,,b_tag_following_text,found
5202109,,,,not_found,not_found
5201675,글 박윤선(기업커뮤니케이션&컨설팅그룹 네오메디아 대표) 사진 각 브랜드,박윤선,,b_tag_following_text,found
5201400,,,,not_found,not_found
5201217,글과 사진 류주현 사진 제공 르다,류주현,,b_tag_following_text,found
5200771,,,,not_found,not_found
5200560,글 박찬은 기자 사진 중국주서울관광사무소,박찬은,,b_tag_following_text,found
5200114,,,,not_found,not_found
5199888,글과 사진 최유진,최유진,,b_tag_following_text,found
5199420,글 변덕호(매경에이엑스) 기자 사진 차지코리아,변덕호,,b_tag_following_text,found
5198755,글 박윤선(기업커뮤니케이션&컨설팅그룹 네오메디아 대표) 사진 각 브랜드,박윤선,,b_tag_following_text,found
5197490,글 송이령(프리랜서) 사진 프리픽,송이령,,b_tag_following_text,found
5195384,글과 사진 류주현,류주현,,b_tag_following_text,found
5194716,글 송이령(프리랜서) 사진 프리픽,송이령,,b_tag_following_text,found
5194018,글과 사진 최유진,최유진,,b_tag_following_text,found
5194011,,,,not_found,not_found
5193267,글 송이령(프리랜서) 일러스트 프리픽,송이령,,b_tag_following_text,found
5193172,글 박찬은 기자(park.chaneun@mk.co.kr),박찬은,park.chaneun@mk.co.kr,b_tag_following_text,found
5192642,글과 사진 류주현,류주현,,b_tag_following_text,found
5192616,글 박윤선(기업커뮤니케이션&컨설팅그룹 네오메디아 대표) 사진 각 브랜드,박윤선,,b_tag_following_text,found
