raw_label,article_count,median_title_chars,median_hour,share_of_labeled_articles
Find Dining,24,43.0,15.0,0.2353
Health Recipe,20,45.0,16.5,0.1961
Style,20,42.0,16.0,0.1961
Consumer News,11,51.0,15.0,0.1078
AI기상캐스터,10,37.0,13.0,0.098
Mind Note,7,40.0,16.0,0.0686
Issue Pick,2,46.0,11.5,0.0196
AI 기상캐스터,1,40.0,13.0,0.0098
Hotel News,1,35.0,0.0,0.0098
MBN이 본 신간,1,54.0,18.0,0.0098
Season Item,1,50.0,17.0,0.0098
Travel News,1,59.0,14.0,0.0098
Travel Trend,1,49.0,11.0,0.0098
반론보도,1,58.0,17.0,0.0098
진료는 의사에게,1,38.0,16.0,0.0098
